dawd,856777781,1432000513,domain_users,Tue Jul 29 18:57:01 +0000 2025,domain_users,isoseq_dicerna_compbio,sysbiotarget,adv-omics,ad_jira_red,dna_aws_hpc,red-dp,longread_adipose,REDDP_READER_P,intercept,seqplat_ws_scrnaseq,datahub-genetics-ukb53639,,,,,,,,,,,,,
dbvm,447632147,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,,
ddrd,648940501,1432000513,domain_users,**Never logged in**,domain_users,cdd,massif_seed_library,ad_jira_red,dna_aws_hpc,red-dp,REDDP_READER_P,nn_bdas_reader,,,,,,,,,,,,,,,,,
dgme,481948052,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,,
dipm,981225441,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,red-dp,,,,,,,,,,,,,,,,,,,,,,
dkei,856721063,1432000513,domain_users,Thu Jun 19 08:39:59 +0000 2025,domain_users,ad_jira_red,dna_aws_hpc,liver_biology_colab,nnrco,biobeat,red-dp,datahub-genetics-ukb53639,nn_bdas_reader,REDDP_READER_P,seqplat_ws_scrnaseq,,,,,,,,,,,,,,
dmnt,1003053386,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,,,
dmqs,981244878,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,REDDP_READER_P,datahub-210-admin,,,,,,,,,,,,,,,,,,,,,
dmsn,981219670,1432000513,domain_users,Mon Aug  4 21:39:46 +0000 2025,domain_users,dept105,local_ukbiobank,ukb_proteomics,genetics_ukb65851,Backman2021_WES,GWAS_SumStat,mrsmith,aagenetics,bikeki,applygtex,genetics_ukb53639,ad_jira_red,dna_aws_hpc,nnrco,MassivePxP,datahub-dept105,REDDP_READER_P,DMSN_WDRM,datahub-genetics-ukb53639,,,,,
dnnm,1432036748,1432000513,domain_users,**Never logged in**,domain_users,REDDP_READER_P,ad_jira_red,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,
dnvm,1348628020,1432000513,domain_users,Tue Jul  1 11:02:21 +0000 2025,domain_users,safety_landscape,ad_jira_red,dna_aws_hpc,,,,,,,,,,,,,,,,,,,,,
dpkn,856701637,1432000513,domain_users,**Never logged in**,domain_users,cdd,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,
dpqa,856761367,1432000513,domain_users,Mon Aug  4 19:56:40 +0000 2025,domain_users,rstudio-admins,admin-marjorie,admin-lovelace,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,
dprv,1562237776,1432000513,domain_users,**Never logged in**,domain_users,dna_aws_hpc,OMERO-Users,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,
drtv,856711328,1432000513,domain_users,**Never logged in**,domain_users,ad_jira_red,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,
drugseq,1022241221,1432000513,domain_users,Thu Jul 31 07:52:40 +0000 2025,domain_users,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,,
dsyu,856758067,1432000513,domain_users,**Never logged in**,domain_users,ad_jira_red,dna_aws_hpc,REDDP_READER_P,,,,,,,,,,,,,,,,,,,,,
dyvl,1022258962,1432000513,domain_users,Mon Aug  4 16:00:14 +0000 2025,domain_users,ad_jira_red,dna_aws_hpc,DD_AWS_Image_Solutions,REDDP_OPCOB_OMICS_READER,GFS_POC_Image_Solutions,,,,,,,,,,,,,,,,,,,
